id,amount,dst,src,token,tokenId,transactionId,transactionLogId,workspaceId,processed,createdAt,updatedAt
42349538,6666000000000000000000,0x0bf18f89ad3ebc9047c22d9316dec23235e18a87,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88737453,107219108,7354,true,"2024-04-20T03:25:23.116Z","2024-04-20T03:25:44.534Z"
44184288,66666666000000000000000000,0x006706b3aced8f9c82f45055521b875be51da06f,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,90924392,109556432,7354,true,"2024-05-02T15:21:01.720Z","2024-05-02T19:29:40.355Z"
42345433,66666666666666666666666666666666666666666666666666,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730706,107207577,7354,true,"2024-04-19T08:02:52.522Z","2024-04-19T08:02:57.164Z"
42345410,666666666666,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0xd40055663c115adaf1c593f4273a7b32006c431b,null,88730664,107207538,7354,true,"2024-04-19T07:58:20.295Z","2024-04-19T07:58:24.769Z"
42345434,100000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730719,107207595,7354,true,"2024-04-19T08:06:21.383Z","2024-04-19T08:06:28.425Z"
42345441,1000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730792,107207628,7354,true,"2024-04-19T08:20:37.126Z","2024-04-19T08:20:46.063Z"
42345510,66666666666666665566000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730984,107207799,7354,true,"2024-04-19T08:49:47.979Z","2024-04-19T08:49:54.227Z"
42345512,666666666666666666,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730991,107207802,7354,true,"2024-04-19T08:51:09.300Z","2024-04-19T08:51:18.239Z"
42345521,600000000000000000000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731048,107207838,7354,true,"2024-04-19T08:58:46.108Z","2024-04-19T08:58:54.599Z"
42345525,60000000000000000000000000000000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731083,107207864,7354,true,"2024-04-19T09:01:53.183Z","2024-04-19T09:02:01.756Z"
42345575,6000000000000000000000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731261,107208075,7354,true,"2024-04-19T09:10:55.265Z","2024-04-19T09:11:04.205Z"
42345578,666666666666000000000000000000,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731272,107208089,7354,true,"2024-04-19T09:12:19.530Z","2024-04-19T09:12:28.029Z"
42345880,1000000000000,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0x6497ce5dbe25ad343bef8a5be82c19802ba7cd71,null,88731795,107209024,7354,true,"2024-04-19T10:37:11.224Z","2024-04-19T10:37:16.128Z"
42345885,10000000000000000000000000000,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0xcfd1ea4100e30ca3ce22c99e24b5e54a00aa946b,null,88731824,107209043,7354,true,"2024-04-19T10:45:22.550Z","2024-04-19T10:45:27.247Z"
42345948,60000000006666666666666666666666666666666666666666,0x000000000000000000000000000000000000dead,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88732150,107209282,7354,true,"2024-04-19T11:36:54.846Z","2024-04-19T11:37:04.330Z"
42345957,6666000000000000000000,0xf69c4f4d14bb050d62ad4e836f3e5e5217e7fc9c,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88732175,107209311,7354,true,"2024-04-19T11:41:21.957Z","2024-04-19T11:41:31.209Z"
42345962,6666000000000000000000,0x451ad094284d1059c0cafcc6f3fad1759ab1939c,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88732203,107209340,7354,true,"2024-04-19T11:44:18.513Z","2024-04-19T11:44:26.822Z"
42346339,6666666659999999999333333333334000000000000000000,0x000000000000000000000000000000000000dead,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88732516,107210460,7354,true,"2024-04-19T11:53:23.357Z","2024-04-19T11:53:31.916Z"
42346600,666666666000000000000000000,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88732615,107211100,7354,true,"2024-04-19T11:54:13.546Z","2024-04-19T11:54:21.782Z"
42348575,6666000000000000000000,0x394f556583dc1bb2142576ccf9825daefac0676d,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88734497,107216226,7354,true,"2024-04-19T14:02:41.038Z","2024-04-19T14:02:52.381Z"
42349465,6666000000000000000000,0x1d362f7eb50f02691fe7f448cb24711091d2cea3,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88735167,107218442,7354,true,"2024-04-19T15:07:52.294Z","2024-04-19T15:08:04.851Z"